House ID,dining,River,bathrooms,built,space,farm,Knight,bedrooms,visit,priced,bless,Dock,curse,Location,Capital,Royal Market,Guarding_tower,holy_tree,renovation,price
6e32cec0,3,63.109038,,4/21/1602 12:41 AM ,0,0,10.505662,4,0,7/9/1609 1:11 AM,160,138.600639,0, King's Landing,0.256239,69.486467,14.394903,1,0,1470912
6e32cec4,2,53.249336,,8/23/1600 12:25 AM ,,1,37.249456,4,,5/2/1612 10:32 PM,133,16.254871,0, The Mountains,26.882222,34.145238,101.052598,,0,1241030
6e32cec9,3,72.245533,2,5/5/1600 11:39 AM ,0,0,146.553349,,0,6/10/1608 8:17 AM,24,6.555428,0,,136.448973,78.445508,88.480988,1,0,838723
6e32cece,2,8.059939,2,2/10/1603 8:51 PM ,0,0,29.921162,2,0,6/5/1611 11:44 PM,140,79.72455,0, The Mountains,19.885265,92.698917,22.395136,,0,1267804
6e32ced1,3,35.706541,2,1/5/1603 2:46 AM ,0,1,10.85578,2,0,10/8/1610 5:18 AM,159,101.541256,0, The Mountains,0.519507,3.605055,81.449646,1,0,1497166
6e32ced3,,72.111768,4,1/25/1603 6:38 PM ,0,0,18.378692,2,0,1/12/1612 11:28 AM,152,48.601612,0, King's Landing,7.575922,32.236989,47.180399,1,0,1428460
6e32ced5,3,33.929217,2,3/12/1600 1:19 AM ,0,1,12.389964,2,0,10/26/1607 9:54 PM,158,32.624227,0, Servant's Premises,1.95597,88.485147,77.692256,1,0,1453568
6e32ced7,,27.379252,3,4/28/1603 12:52 AM ,0,1,26.231919,3,0,5/19/1610 9:42 PM,144,84.170405,0, Servant's Premises,15.776747,62.816373,51.870346,1,0,1381186
6e32ceda,4,17.045949,3,10/23/1603 11:14 PM ,0,1,132.934312,3,0,10/21/1611 7:40 AM,37,10.998322,0, The Mountains,122.930753,63.794375,53.019891,1,0,1052137
6e32cedd,3,36.93498,3,6/25/1601 9:41 AM ,0,0,13.188134,3,0,11/1/1607 9:54 AM,157,60.265361,0, Servant's Premises,2.809867,23.701329,89.658984,1,,1473032
6e32cedf,3,17.666228,2,9/7/1601 12:14 AM ,0,0,13.151035,2,0,10/1/1609 8:39 AM,157,11.938817,0, Servant's Premises,2.738666,5.58977,12.033816,,1,1442065
6e32cee4,4,78.94806,2,12/3/1601 8:59 PM ,0,1,10.794902,3,0,8/5/1607 11:20 PM,160,13.986232,0, The Mountains,0.212412,20.485516,138.362509,1,0,1583875
6e32cee9,2,20.965323,4,2/11/1603 2:55 PM ,,0,15.41681,3,0,5/23/1611 7:33 AM,155,38.977167,0, King's Landing,5.128739,44.068565,152.377106,,0,1430528
6e32ceeb,2,19.19682,4,9/28/1600 7:35 PM ,0,0,96.158416,2,0,2/12/1611 11:42 PM,74,135.364314,0, The Mountains,85.723029,,48.236597,,0,957702
6e32ceed,4,7.69931,3,4/28/1601 6:26 AM ,0,0,35.537406,2,0,8/5/1612 5:47 PM,135,23.614598,0, The Mountains,24.762207,84.008876,,1,0,1330487
6e32cef3,3,0.630053,2,1/14/1602 4:22 AM ,0,0,34.143765,4,0,8/27/1611 9:25 PM,137,,0, Cursed Land,23.338276,126.491446,128.876997,1,0,1309373
6e32cef9,,37.27244,2,4/15/1601 1:40 PM ,0,0,78.519339,4,0,5/10/1611 9:49 PM,92,35.488288,1, Cursed Land,68.371189,44.62349,20.89483,0,0,1109247
6e32cefc,4,71.789958,4,10/13/1603 3:34 AM ,0,0,77.701631,3,0,3/15/1608 7:24 PM,93,57.719253,0, Servant's Premises,67.341891,,119.177337,1,0,1185887
6e32cefe,3,42.888742,4,3/4/1602 9:37 PM ,0,0,77.473677,3,0,5/1/1612 12:30 PM,93,43.15605,0, The Mountains,66.593962,16.472091,62.472761,1,1,1219965
6e32cf01,4,10.558469,2,2/27/1603 6:55 PM ,0,0,62.646237,2,0,3/9/1607 2:12 AM,108,81.58993,0,,52.209955,2.228096,125.088833,1,1,1322296
6e32cf07,4,16.919434,4,7/12/1606 10:47 AM ,0,0,31.432421,4,0,10/15/1612 8:42 AM,139,,0, King's Landing,20.748392,70.848219,69.096122,,0,1468637
6e32cf09,2,6.548119,3,3/18/1603 3:53 AM ,0,0,91.425357,2,0,5/17/1610 9:36 PM,79,52.819705,0, Cursed Land,80.970959,96.656914,70.965631,1,0,1017577
6e32cf0e,2,52.220719,3,2/11/1606 1:48 PM ,0,1,76.231255,3,0,3/23/1609 4:29 AM,94,60.198424,0, The Mountains,65.509891,108.357045,179.275253,1,0,1150209
6e32cf10,3,53.012429,3,8/1/1600 3:39 AM ,0,0,11.402158,4,0,9/11/1609 1:36 PM,159,31.038516,0, Cursed Land,0.531688,115.459079,117.597482,1,0,1351400
6e32cf13,2,3.079892,2,10/18/1605 7:53 AM ,0,0,81.862921,2,0,12/23/1608 5:50 AM,89,85.472652,, Servant's Premises,70.864401,13.310768,21.514952,1,1,1226995
6e32cf17,3,55.267216,3,8/17/1603 12:33 AM ,,0,11.447193,2,0,8/15/1610 4:24 PM,159,18.69285,0, Cursed Land,1.034696,68.243586,,,0,1328810
6e32cf1a,4,38.447667,3,5/12/1605 4:32 AM ,0,0,65.333281,2,0,6/28/1612 4:31 AM,105,11.585549,0, The Mountains,54.728789,13.620052,12.494618,,0,1273623
6e32cf20,4,21.44816,4,2/26/1600 3:13 PM ,0,0,36.084848,3,0,3/10/1610 2:23 PM,135,145.034612,0, The Mountains,25.106037,141.942752,24.82466,1,0,1263657
6e32cf26,2,46.328111,4,5/24/1600 7:36 PM ,0,0,35.225807,4,0,3/7/1607 2:42 PM,135,1.072398,0, The Mountains,25.097674,60.114222,143.926651,1,0,1386556
6e32cf2a,3,10.327582,4,8/24/1606 1:33 PM ,0,0,26.808392,4,0,12/3/1607 7:51 AM,143,27.395888,0,,16.519207,21.911712,36.647534,1,,1620012
6e32cf2f,3,3.659866,4,11/1/1606 8:32 PM ,,1,70.653917,4,,2/13/1608 11:34 PM,100,83.884547,0, The Mountains,60.315918,74.440462,14.186489,1,1,1339790
6e32cf32,4,14.833137,3,10/25/1600 1:44 AM ,0,0,136.481039,4,0,8/2/1607 10:14 PM,34,14.335892,1, Cursed Land,125.909425,13.760539,14.041083,0,0,1053131
6e32cf35,,57.998381,4,8/3/1602 8:19 AM ,0,0,25.249336,4,0,5/24/1607 4:46 PM,145,,0, The Mountains,14.771254,47.208782,143.697581,1,0,1437162
6e32cf37,3,35.378385,4,12/27/1603 10:29 PM ,0,0,19.658196,2,0,10/27/1609 3:57 AM,151,26.56988,0, The Mountains,8.87772,132.820614,78.734685,1,0,1386055
6e32cf3b,3,27.337864,4,7/18/1601 4:23 AM ,0,0,42.522518,2,0,11/26/1611 11:21 PM,128,,0,,31.803728,76.911213,67.482017,1,0,1274727
6e32cf3d,3,7.53747,4,7/6/1600 9:18 AM ,0,0,13.72868,2,0,3/4/1608 12:45 PM,156,31.795669,0, The Mountains,3.694051,45.184515,215.291212,1,0,1452049
6e32cf3f,2,67.690842,4,12/10/1606 10:54 PM ,0,0,97.72198,2,0,12/12/1607 6:12 PM,72,46.037313,0, The Mountains,87.711658,48.592949,206.456805,1,0,1084410
